 EVENT_ID,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,STRIKE,DIP  ,RAKE   ,STRIKE,DIP  ,RAKE   ,MAGNITUDE
997809,19-11-1996,12:21.5,24.05,93.38,53,102,34,59,317,61,109,5.3
1312023,16-10-1998,05:37.2,23.82,94.74,112.1,86,12,180,177,90,78,5.3
7446944,09-12-2004,49:05.0,24.66,92.72,39.4,128,69,128,243,42,32,5.3
13659544,30-08-2009,27:51.1,25.13,95.06,78,150,65,138,261,52,32,5.3
601273351,14-07-2012,55:19.1,25.4,94.45,41.1,159,80,158,253,69,11,5.3
618929849,27-08-2020,07:15.6,23.091,93.313,14,179.22,63.04,169.14,274.2,80.33,27.38,5.3
618929849,27-08-2020,07:15.6,23.1636,93.3258,10,99.82,83.7,-5.53,190.42,84.5,-173.67,5.3
618929849,27-08-2020,07:16.1,23.0698,93.1164,11.5,7.98,65.11,-171.13,274.23,81.96,-25.15,5.3
621744674,21-01-2022,12:32.5,23.078,93.862,66,120.97,62.57,119.64,249.96,39.52,46.38,5.3
626677378,14-08-2023,49:50.3,24.94,92.36,26.6,152,49,134,276,57,51,5.3
786827,02-02-1971,07:59:59,23.7137,91.6624,     ,      ,     ,       ,      ,     ,       ,5.4
691781,13-10-1977,32:13.5,23.27,93.16,60.8,48,84,-49,145,41,-171,5.4
556579,05-03-1984,26:49.5,24.85,95.49,95.8,114,21,144,238,78,72,5.4
503081,08-02-1986,28:59.0,23.79,93.09,33,224,62,-15,321,77,-152,5.4
491776,26-07-1986,24:55.7,23.86,94.19,64.9,36,76,162,130,72,15,5.4
407202,13-04-1989,25:37.9,24.25,91.71,33,181,88,96,291,6,20,5.4
331761,11-05-1991,15:22.8,23.42,93.25,73.6,159,77,171,251,81,13,5.4
997809,19-11-1996,12:18.7,24.498,92.641,46,88,40,50,315,61,118,5.4
1312023,16-10-1998,05:34.3,23.743,94.683,85,213,3,-52,355,87,-92,5.4
7446944,09-12-2004,49:00.2,24.757,92.539,34.7,218,33,-2,310,89,-123,5.4
10698401,11-05-2006,22:52.0,23.309,94.307,30,155,45,90,335,45,90,5.4
10698401,11-05-2006,22:52.0,23.309,94.307,30,74,54,105,229,38,70,5.4
601002723,11-05-2012,41:35.3,26.175,92.889,43.3,71,87,8,340,82,177,5.4
601002723,11-05-2012,41:37.4,26.18,93.03,46.1,67,83,7,336,84,173,5.4
618929849,27-08-2020,07:14.8,23.08,93.31,15.7,5,74,169,99,79,17,5.4
619479207,10-10-2020,38:01.2,24.557,93.548,49,70.47,70.98,9.59,337.32,80.94,160.73,5.4
621744674,21-01-2022,12:35.0,22.88,93.81,72.1,132,66,134,245,49,33,5.4
636141756,02-12-2023,35:32.4,23.109,90.9278,30,232.19,89.19,-22.12,322.52,67.88,-179.13,5.4
636141756,02-12-2023,03:35:33,23.1236,90.9449,40.5,140.12,80.63,173.98,231.11,84.06,9.42,5.4
309438,04-12-1991,27:30.7,24.19,93.83,70,151,79,157,245,68,11,5.5
1104112,02-05-1998,36:54.6,24.84,95.09,127.4,132,68,156,232,68,24,5.5
1620583,05-04-1999,32:56.8,24.5,93.96,65.1,86,62,16,348,76,151,5.5
1740722,11-10-2000,42:11.1,23.58,94.63,122.3,155,77,88,343,14,98,5.5
13563962,11-08-2009,43:47.6,24.323,94.793,99,121,44,135,246,60,55,5.5
13563962,11-08-2009,43:49.8,24.25,94.77,115,119,45,139,241,62,53,5.5
14405380,12-03-2010,19:55.2,23.062,94.623,102.1,135,45,173,230,85,45,5.5
14405380,12-03-2010,19:57.4,22.99,94.62,114.7,103,32,142,227,71,64,5.5
611831467,03-01-2017,09:02.1,24.0151,92.0177,32,162.24,89.97,179.27,252.24,89.27,0.03,5.5
616640738,07-01-2018,47:12.4,24.721,94.799,31,15.3,53.21,83.99,205.27,37.21,97.97,5.5
616640738,07-01-2018,47:15.8,24.7382,94.9055,33,25.35,73.5,104.87,162.27,22.07,49.09,5.5
618560738,21-06-2020,40:52.8,23.192,93.326,13,14.95,88.18,174.9,105.11,84.9,1.82,5.5
619479207,10-10-2020,38:00.8,24.6661,93.4997,53,164.17,74.16,168.44,257.37,78.89,16.16,5.5
619479207,10-10-2020,38:03.8,24.59,93.6,34.8,161,85,172,252,82,5,5.5
619479207,10-10-2020,38:08.8,24.6654,93.4964,50.5,148.53,76.79,166.68,241.63,77.04,13.56,5.5
636141756,02-12-2023,35:28.0,23.128,90.927,52,227,87,-15,318,75,-177,5.5
636141756,02-12-2023,35:32.3,23.1236,90.9449,48,230.71,89.14,-17,320.98,73,-179.1,5.5
636141756,02-12-2023,35:33.8,23.12,90.929,54,56.22,78.07,23.49,321.08,67.05,167.02,5.5
406433,03-04-1989,39:37.8,25.15,94.81,85.3,71,81,-8,163,82,-171,5.6
10698401,11-05-2006,22:59.3,23.31,94.3,33.7,15,42,102,180,49,80,5.6
14209499,29-12-2009,01:55.3,24.357,94.807,124.8,89,22,114,244,70,81,5.6
14209499,29-12-2009,01:55.4,24.31,94.84,125.1,124,41,143,244,66,55,5.6
601224672,01-07-2012,13:52.1,25.592,94.696,58,161,83,173,252,83,7,5.6
601224672,01-07-2012,13:55.1,25.6,94.73,49.6,147,78,176,238,86,12,5.6
610573987,20-11-2014,14:37.0,23.532,93.514,57,46,61,-46,163,51,-141,5.6
610573987,20-11-2014,14:37.7,23.518,93.519,51,48.04,67.22,-52.04,164.43,43.37,-145.68,5.6
611831467,03-01-2017,09:04.0,23.98,92.03,24.5,64,86,-2,154,88,-176,5.6
616640738,07-01-2018,47:14.0,24.756,94.913,34,16,63,90,196,27,90,5.6
616640738,07-01-2018,47:15.8,24.8378,94.6852,40.5,22.7,53.37,85.43,210.33,36.87,96.11,5.6
618560738,21-06-2020,40:51.6,23.1761,93.25,2.4,106.73,86.9,-2.14,196.85,87.86,-176.9,5.6
618560738,21-06-2020,22:40:56,23.0761,93.0324,15.5,101.43,80.01,-31.43,197.48,59.1,-168.33,5.6
624841912,29-09-2022,22:37.7,23.0687,94.9184,144,121.4,32.47,133.27,253.26,66.99,66.43,5.6
624841912,29-09-2022,22:38.8,22.98,95.02,168,126,31,135,257,69,67,5.6
624841912,29-09-2022,22:39.6,23.1197,94.8998,165.7,129.35,29.9,146.84,248.88,74.18,64.29,5.6
624841912,29-09-2022,22:39.8,23.0675,94.807,170.5,132.91,35.17,152.81,245.69,74.74,57.93,5.6
571147,30-08-1983,39:34.2,25.34,94.9,68.9,161,65,159,260,71,26,5.7
295846,15-04-1992,32:11.6,23.96,94.57,142.5,145,54,120,281,45,56,5.7
7553937,18-09-2005,25:59.5,24.561,94.781,84,159,61,128,281,46,42,5.7
7553937,18-09-2005,26:01.7,24.48,94.71,105.4,156,60,138,271,54,38,5.7
15473890,03-09-2009,51:21.7,24.67,95.2,95,142,47,159,247,75,45,5.7
17546241,21-11-2011,15:41.6,24.96,95.232,107,119,46,100,285,45,80,5.7
17546241,21-11-2011,15:41.6,24.96,95.232,107,144,49,119,284,48,61,5.7
610573987,20-11-2014,14:40.0,23.49,93.46,35.2,49,66,-37,157,56,-150,5.7
611831467,03-01-2017,09:09:08,23.9027,91.8888,35.5,56.99,88.14,-12.27,147.39,77.74,-178.1,5.7
616640738,07-01-2018,47:17.7,24.56,95.16,36.4,21,63,84,214,28,102,5.7
618560738,21-06-2020,40:53.2,23.1,93.26,19.9,13,70,175,105,85,20,5.7
444985,06-02-1988,50:43.6,24.05,91.66,31,147,82,166,239,76,9,5.8
444985,06-02-1988,50:45.3,24.688,91.57,34,112,59,158,214,72,33,5.8
15473890,03-09-2009,51:07.0,24.332,94.669,95,144,42,141,265,65,55,5.8
15473890,03-09-2009,51:07.0,24.332,94.669,95,142,40,139,266,65,58,5.8
17546241,21-11-2011,15:42.9,24.82,95.19,129.2,143,48,118,284,49,62,5.8
17546241,21-11-2011,15:43.0,25.05,95.01,120,149,48,111,300,46,68,5.8
602264460,09-01-2013,41:53.3,25.329,95.048,93,140,50,115,284,46,63,5.8
602264460,09-01-2013,41:53.3,25.329,95.048,93,134,55,106,287,38,68,5.8
602264460,09-01-2013,41:54.7,25.09,94.95,105.9,137,53,109,288,41,67,5.8
1025837,08-05-1997,53:19.3,24.51,92.36,35,78,68,4,347,86,158,5.9
15473890,03-09-2009,51:10.5,24.29,94.73,115.5,144,46,152,255,70,48,5.9
17546241,21-11-2011,16:00.0,25.26,95.52,93,145,48,119,285,49,62,5.9
552357,06-05-1984,19:18.9,24.33,93.42,61.3,157,69,161,254,73,22,6
537963,30-12-1984,33:45.4,24.75,92.99,101.8,129,53,61,352,46,123,6
1025837,08-05-1997,53:14.7,24.894,92.25,28,164,89,170,254,80,1,6
761018,31-05-1973,23:40:01,24.3099,93.5179,     ,      ,     ,       ,      ,     ,       ,6.1
159442,08-08-1994,08:31.7,24.721,95.2,123,102,34,122,245,61,70,6.1
159442,08-08-1994,08:36.6,24.76,94.97,145.6,111,34,120,257,61,71,6.1
467270,18-05-1987,53:59.3,24.58,93.94,75.3,67,68,-14,163,77,-158,6.2
602064405,04-02-2011,53:46.3,24.618,94.68,85,128,61,118,260,40,50,6.2
602064405,04-02-2011,53:46.3,24.618,94.68,85,134,60,121,264,42,49,6.2
602064405,04-02-2011,53:47.0,24.62,94.74,89,126,56,119,261,43,53,6.2
803481,17-10-1969,25:14.8,23.5,94.78,136.6,145,25,137,275,73,71,6.3
602064405,04-02-2011,53:48.9,24.46,94.68,103.5,142,62,136,256,52,36,6.3
612140990,03-01-2016,05:20.3,24.8758,93.628,58,82.62,80.61,38.47,345.23,52.14,168.07,6.6
612140990,03-01-2016,23:05:26,24.98,93.3,50.5,78,81,46,339,45,167,6.7
612140990,03-01-2016,05:27.8,24.71,93.47,52.4,78,78,42,338,49,165,6.7
612140990,03-01-2016,05:19.0,24.816,93.65,48,82,71,33,340,59,158,6.8
612140990,03-01-2016,05:20.0,24.876,93.628,28,80,79,59,332,33,158,6.8
611829306,13-04-2016,55:17.0,23.133,94.899,147,121,36,121,265,60,70,6.9
611829306,13-04-2016,55:17.6,23.033,94.957,159,271,59,73,121,35,115,6.9
611829306,13-04-2016,55:17.7,23.1266,94.8878,139,131.17,35.23,127.6,267.85,62.8,66.69,6.9
611829306,13-04-2016,13:55:19,23.13,94.57,140.5,127,37,126,265,61,66,6.9
611829306,13-04-2016,55:20.7,23.02,94.78,149.8,129,39,124,269,59,66,6.9
611829306,13-04-2016,55:32.7,23.5363,94.68,130.9,127.02,39.72,119.99,270.14,56.4,67.45,6.9
428070,06-08-1988,36:37.6,25.19,94.89,100.5,148,54,120,284,45,55,7.2
